N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
25,고려아연,"657,000","40,000",+6.48%,"5,000","130,501","19,863",20.72,"153,470",17.17,11.07,
26,한국전력,"20,150",300,+1.51%,"5,000","129,356","641,964",14.34,"1,296,338",-0.64,-7.99,
27,하나금융지주,"43,300",50,-0.12%,"5,000","128,126","295,903",70.18,"585,253",3.50,10.86,
28,카카오뱅크,"26,400",600,+2.33%,"5,000","125,831","476,634",13.44,"3,823,206",58.54,4.91,
29,SK텔레콤,"50,000",0,0.00%,100,"109,417","218,833",46.04,"211,019",11.57,13.63,
30,두산에너빌리티,"16,950",200,-1.17%,"5,000","108,193","638,308",11.63,"3,775,640",339.00,10.67,
31,크래프톤,"219,500","8,500",-3.73%,100,"107,713","49,072",29.86,"149,601",16.02,17.86,
32,HMM,"21,650",150,-0.69%,"5,000","105,877","489,039",9.73,"1,166,422",0.92,88.62,
33,한화솔루션,"53,600",400,-0.74%,"5,000","102,525","191,278",24.99,"1,191,872",35.22,8.79,
34,현대중공업,"114,500",0,0.00%,"5,000","101,645","88,773",6.00,"81,311",-14.31,-14.87,
35,삼성전기,"134,000","1,500",-1.11%,"5,000","100,090","74,694",28.46,"132,007",10.90,14.29,
36,엔씨소프트,"453,000","6,500",-1.41%,500,"99,452","21,954",43.49,"67,629",19.53,12.62,
37,S-Oil,"87,700",600,+0.69%,"2,500","98,735","112,583",80.15,"198,149",4.73,21.76,
38,KT,"37,100",450,+1.23%,"5,000","96,872","261,112",43.86,"439,047",6.80,9.36,
39,삼성에스디에스,"125,000",500,-0.40%,500,"96,722","77,378",13.78,"64,505",10.08,8.80,
40,삼성화재,"203,500","3,000",+1.50%,500,"96,408","47,375",50.21,"76,067",8.92,7.09,
41,LG생활건강,"613,000","11,000",-1.76%,"5,000","95,740","15,618",36.75,"58,136",22.51,16.65,
42,대한항공,"25,050",0,0.00%,"5,000","92,239","368,221",16.22,"509,075",4.99,11.60,
43,우리금융지주,"12,450",100,-0.80%,"5,000","90,644","728,061",40.51,"1,255,776",2.97,10.59,
44,기업은행,"11,050",0,0.00%,"5,000","82,245","744,301",13.67,"494,151",3.37,9.21,
45,카카오페이,"56,600",400,-0.70%,500,"75,109","132,701",42.83,"819,882",-285.86,-2.45,
46,아모레퍼시픽,"122,000","1,500",+1.24%,500,"71,361","58,493",24.63,"280,939",123.23,4.20,
47,LG이노텍,"299,500","3,000",-0.99%,"5,000","70,883","23,667",24.48,"147,555",6.83,30.94,
48,현대글로비스,"173,000","2,000",+1.17%,500,"64,875","37,500",47.26,"38,829",5.97,14.41,
49,SK바이오사이언스,"81,600",200,+0.25%,500,"62,656","76,784",4.59,"367,541",22.44,38.08,
50,롯데케미칼,"176,500","1,500",-0.84%,"5,000","60,496","34,275",25.60,"64,845",27.46,9.87,
51,CJ제일제당,"392,500","2,000",+0.51%,"5,000","59,088","15,054",24.35,"28,139",9.64,10.76,
52,KODEX 200,"31,630",130,-0.41%,0,"58,895","186,200",10.73,"2,909,920",N/A,N/A,
53,하이브,"139,000","4,000",-2.80%,500,"57,481","41,353",15.12,"137,293",21.01,6.83,
54,SK바이오팜,"72,100",700,-0.96%,500,"56,464","78,313",6.71,"75,833",-116.48,15.75,
55,F&F,"146,000","2,000",-1.35%,100,"55,928","38,307",12.36,"137,755",13.81,N/A,
56,한국조선해양,"78,200",600,+0.77%,"5,000","55,345","70,773",20.34,"71,112",-8.65,-8.95,
57,SK스퀘어,"37,100",350,-0.93%,100,"52,484","141,468",41.97,"160,998",2.30,N/A,
58,LG디스플레이,"14,650",50,+0.34%,"5,000","52,420","357,816",19.24,"778,968",-5.25,9.68,
59,LG유플러스,"12,000",0,0.00%,"5,000","52,393","436,611",38.30,"412,765",8.78,9.47,
60,강원랜드,"24,100",200,-0.82%,500,"51,560","213,940",22.88,"319,571",125.52,-0.33,
61,HD현대,"64,700",600,+0.94%,"1,000","51,109","78,993",17.77,"86,678",4.54,-1.99,
62,메리츠화재,"44,400",300,-0.67%,500,"50,520","113,783",10.73,"354,180",6.60,26.12,
63,삼성엔지니어링,"25,100",850,-3.28%,"5,000","49,196","196,000",41.14,"1,306,278",10.19,20.67,
64,SK아이이테크놀로지,"68,300","5,500",+8.76%,"1,000","48,696","71,298",8.09,"1,713,615",377.35,5.57,
65,메리츠금융지주,"37,050","1,050",+2.92%,500,"47,265","127,572",6.47,"961,122",4.48,22.33,
66,한온시스템,"8,600",30,-0.35%,100,"45,907","533,800",16.62,"380,988",30.07,13.83,
67,삼성중공업,"5,190",0,0.00%,"1,000","45,672","880,000",16.27,"1,838,356",-6.46,-36.89,
68,맥쿼리인프라,"11,250",150,+1.35%,0,"45,545","404,846",13.22,"1,005,451",N/A,N/A,
69,오리온,"114,000",500,+0.44%,500,"45,071","39,536",36.75,"65,070",14.85,12.75,
70,현대건설,"40,100",0,0.00%,"5,000","44,654","111,356",24.27,"362,293",6.72,5.89,
71,현대제철,"33,400",300,+0.91%,"5,000","44,571","133,446",21.92,"181,500",2.73,8.54,
72,한국항공우주,"45,500",500,-1.09%,"5,000","44,351","97,475",25.98,"527,887",34.24,5.19,
73,GS,"46,600",450,+0.98%,"5,000","43,299","92,915",25.43,"86,367",1.99,15.55,
74,금호석유,"147,000",0,0.00%,"5,000","43,092","29,314",21.56,"36,913",3.13,47.76,
75,넷마블,"49,850","1,750",-3.39%,100,"42,848","85,954",23.11,"238,376",-14.35,4.29,
76,DB손해보험,"60,500",700,+1.17%,500,"42,834","70,800",43.18,"94,088",4.46,13.38,
77,코웨이,"58,000",300,+0.52%,500,"42,804","73,800",61.41,"72,886",9.12,27.41,
78,유한양행,"57,700",800,-1.37%,"1,000","42,255","73,231",20.28,"91,511",57.53,5.45,
79,한국타이어앤테크놀로지,"34,050",200,-0.58%,500,"42,179","123,875",36.06,"229,481",6.18,7.69,
80,SKC,"110,500",500,+0.45%,"5,000","41,844","37,868",15.68,"147,804",31.09,11.60,
81,두산밥캣,"40,700","2,650",+6.96%,500,"40,801","100,249",26.48,"295,521",8.44,9.19,
82,미래에셋증권,"6,590",30,-0.45%,"5,000","40,549","615,316",12.73,"424,669",5.34,11.66,
83,삼성카드,"31,600",50,-0.16%,"5,000","36,611","115,859",6.42,"26,444",6.26,7.53,
84,한화에어로스페이스,"71,500",600,-0.83%,"5,000","36,200","50,630",22.55,"413,697",19.58,9.21,
85,메리츠증권,"5,650",50,-0.88%,"1,000","36,144","639,711",14.05,"2,332,415",4.71,15.77,
86,현대미포조선,"89,900",100,-0.11%,"5,000","35,908","39,942",20.08,"120,498",133.38,-7.11,
87,BGF리테일,"205,500","5,000",+2.49%,"1,000","35,518","17,284",32.88,"53,992",18.86,19.61,
88,에스디바이오센서,"32,650",50,+0.15%,500,"33,994","104,117",14.68,"184,218",2.47,72.47,
89,롯데지주,"31,850",50,+0.16%,200,"33,414","104,909",9.84,"134,779",19.07,4.61,
90,씨에스윈드,"78,800",300,-0.38%,500,"33,231","42,171",11.57,"243,351",264.43,10.13,
91,현대로템,"30,200",200,+0.67%,"5,000","32,961","109,142",6.19,"4,213,735",30.05,5.01,
92,한국가스공사,"34,900",250,-0.71%,"5,000","32,217","92,313",10.44,"145,280",2.72,11.63,
93,한국금융지주,"57,300",200,-0.35%,"5,000","31,931","55,726",35.86,"96,025",4.01,27.12,
94,NH투자증권,"9,540",20,+0.21%,"5,000","31,641","331,666",12.88,"183,297",7.55,14.77,
95,KODEX KOFR금리액티브(합성),"101,375",30,+0.03%,0,"31,544","31,116",1.99,"37,039",N/A,N/A,
96,삼성증권,"35,250",50,+0.14%,"5,000","31,478","89,300",27.49,"174,087",5.66,16.94,
97,한미약품,"253,000","4,500",-1.75%,"2,500","31,164","12,318",15.89,"38,020",38.58,8.75,
98,GS리테일,"29,700",100,+0.34%,"1,000","31,101","104,718",7.59,"241,604",34.45,25.58,
99,현대오토에버,"111,000",0,0.00%,500,"30,441","27,424",2.10,"12,241",33.87,7.26,
100,쌍용C&E,"6,010",30,-0.50%,100,"30,282","503,860",2.87,"317,415",45.88,11.12,
101,현대차2우B,"80,900",300,+0.37%,"5,000","29,517","36,485",59.85,"38,934",3.61,N/A,
102,포스코인터내셔널,"23,600",150,+0.64%,"5,000","29,117","123,375",9.04,"558,183",5.09,10.86,
103,TIGER 차이나전기차SOLACTIVE,"12,120",400,-3.19%,0,"28,608","236,040",0.31,"7,134,819",N/A,N/A,
104,일진머티리얼즈,"60,900",500,-0.81%,500,"28,081","46,111",10.05,"167,079",50.37,7.85,
105,제일기획,"24,150",0,0.00%,200,"27,782","115,041",32.86,"99,531",14.09,15.58,
106,팬오션,"5,190",0,0.00%,"1,000","27,744","534,570",17.31,"739,254",3.56,17.16,
107,호텔신라,"70,400",500,-0.71%,"5,000","27,631","39,248",17.39,"110,532",58.04,4.51,
108,한진칼,"39,950",100,-0.25%,"2,500","26,671","66,762",17.03,"61,433",2.82,1.11,
109,현대해상,"29,800",400,+1.36%,500,"26,641","89,400",34.01,"431,835",4.87,8.82,
110,이마트,"93,100",100,-0.11%,"5,000","25,952","27,876",28.10,"33,818",2.80,16.25,
111,LG화학우,"334,000","3,500",+1.06%,"5,000","25,681","7,689",69.62,"11,202",11.75,N/A,
112,아모레G,"30,800",500,-1.60%,500,"25,397","82,458",13.87,"237,574",79.59,5.49,
113,에스원,"64,700",300,-0.46%,500,"24,585","37,999",53.59,"29,313",19.31,9.13,
114,동원산업,"245,000",0,0.00%,"5,000","24,492","9,997",2.68,0,4.32,12.59,
115,롯데쇼핑,"85,600",400,+0.47%,"5,000","24,215","28,289",12.80,"21,740",-4.67,-2.94,
116,한전기술,"63,100",0,0.00%,200,"24,117","38,220",1.85,"306,539",141.48,3.25,
117,LS,"74,700","2,200",+3.03%,"5,000","24,053","32,200",13.80,"192,317",6.00,8.15,
118,KODEX 200선물인버스2X,"3,020",20,+0.67%,0,"24,027","795,600",2.04,"75,299,999",N/A,N/A,
119,키움증권,"91,300","2,000",-2.14%,"5,000","23,938","26,220",25.19,"65,194",4.73,25.38,
120,TIGER CD금리투자KIS(합성),"51,500",5,+0.01%,0,"23,679","45,978",0.00,"506,009",N/A,N/A,
121,BNK금융지주,"7,260",70,+0.97%,"5,000","23,663","325,935",35.28,"1,432,479",2.92,8.76,
122,한솔케미칼,"208,500",0,0.00%,"5,000","23,634","11,335",38.86,"13,480",16.54,23.88,
123,두산퓨얼셀,"35,800",50,+0.14%,100,"23,447","65,494",14.87,"181,005",716.00,1.69,
124,OCI,"97,700",100,-0.10%,"5,000","23,301","23,849",12.38,"475,818",2.89,23.93,
125,CJ,"77,200",0,0.00%,"5,000","22,525","29,177",18.01,"13,304",7.84,5.66,
126,HL만도,"47,000",200,-0.42%,"1,000","22,070","46,957",23.95,"123,431",10.41,9.31,
127,한화시스템,"11,600",100,-0.85%,"5,000","21,915","188,919",3.86,"234,259",-241.67,6.04,
128,대한전선,"1,745",30,+1.75%,100,"21,716","1,244,473",2.05,"21,599,805",45.92,7.78,
129,동서,"21,550",200,-0.92%,500,"21,485","99,700",3.14,"23,341",19.41,8.05,
130,한미사이언스,"31,050","1,300",-4.02%,500,"21,308","68,624",2.20,"119,882",41.34,6.37,
131,한화,"28,300",400,-1.39%,"5,000","21,213","74,959",17.84,"106,514",2.04,20.22,
132,KCC,"238,500","1,500",-0.62%,"5,000","21,194","8,886",14.37,"29,257",-7.66,-0.92,
133,TIGER 미국나스닥100,"70,440",50,-0.07%,0,"21,083","29,930",0.20,"78,843",N/A,N/A,
134,CJ대한통운,"92,300","1,600",+1.76%,"5,000","21,056","22,812",18.18,"62,926",10.44,1.59,
135,영원무역,"47,400","1,050",-2.17%,500,"21,004","44,311",29.44,"91,658",3.70,14.71,
136,서울가스,"419,000","13,000",+3.20%,"5,000","20,950","5,000",3.89,"13,702",103.53,0.80,
137,TIGER 200,"31,660",115,-0.36%,0,"20,816","65,750",5.52,"746,736",N/A,N/A,
138,대우조선해양,"19,400",150,+0.78%,"5,000","20,814","107,291",2.81,"107,672",-1.22,-55.86,
139,한화생명,"2,380",90,+3.93%,"5,000","20,671","868,530",7.35,"3,413,661",1.93,10.79,
140,신세계,"209,500",500,+0.24%,"5,000","20,626","9,845",26.30,"38,328",6.94,8.54,
141,DB하이텍,"45,950",750,-1.61%,"5,000","20,401","44,399",25.11,"335,384",3.36,33.35,
142,대우건설,"4,900",10,-0.20%,"5,000","20,366","415,623",12.21,"609,442",4.06,16.47,
143,LIG넥스원,"91,700","1,000",-1.08%,"5,000","20,174","22,000",14.16,"186,635",11.00,14.63,
144,GS건설,"23,550",200,+0.86%,"5,000","20,154","85,581",33.19,"546,131",4.03,9.32,
145,KODEX 레버리지,"14,760",135,-0.91%,0,"20,133","136,400",1.17,"15,435,491",N/A,N/A,
146,휠라홀딩스,"32,850",100,+0.31%,"1,000","19,957","60,752",42.13,"81,103",9.27,16.20,
147,KODEX 200TR,"10,605",45,-0.42%,0,"19,868","187,350",0.00,"56,373",N/A,N/A,
148,농심,"321,000","2,000",-0.62%,"5,000","19,525","6,083",15.00,"4,717",16.79,4.73,
149,현대차우,"79,300",400,-0.50%,"5,000","19,315","24,357",56.62,"26,298",3.54,N/A,
150,코스모신소재,"62,300","3,300",+5.59%,"1,000","19,095","30,651",9.26,"789,837",66.70,9.42,
151,대성홀딩스,"116,000","3,000",+2.65%,"1,000","18,664","16,089",4.90,"60,590",116.70,3.61,
152,하이트진로,"26,000",250,-0.95%,"5,000","18,235","70,134",12.99,"123,111",16.05,6.62,
153,TIGER 미국S&P500,"13,425",5,-0.04%,0,"18,218","135,700",0.00,"682,218",N/A,N/A,
154,효성첨단소재,"402,000","2,000",-0.50%,"5,000","18,009","4,480",6.82,"16,549",9.95,54.69,
155,LS ELECTRIC,"60,000",400,+0.67%,"5,000","18,000","30,000",12.39,"93,461",18.34,5.86,
156,오뚜기,"449,000","1,000",-0.22%,"5,000","17,995","4,008",11.17,"2,054",11.56,8.91,
157,금양,"30,650","1,700",-5.26%,500,"17,792","58,050",1.28,"3,309,197",101.16,13.57,
158,KODEX 삼성그룹,"9,150",15,-0.16%,0,"17,705","193,500",0.92,"320,381",N/A,N/A,
159,대웅제약,"152,000",0,0.00%,"2,500","17,612","11,587",8.68,"24,852",21.41,4.39,
160,TIGER MSCI Korea TR,"13,105",35,-0.27%,0,"17,128","130,700",0.01,"10,936",N/A,N/A,
161,현대두산인프라코어,"8,310",390,+4.92%,"1,000","16,434","197,763",10.39,"8,231,974",3.57,24.63,
162,JB금융지주,"8,290",70,+0.85%,"5,000","16,330","196,983",26.99,"286,682",2.81,12.80,
163,두산,"97,800","2,700",-2.69%,"5,000","16,160","16,524",6.75,"158,906",-19.75,11.08,
164,현대위아,"58,900",700,-1.17%,"5,000","16,018","27,195",10.39,"87,643",7.82,1.96,
165,LX인터내셔널,"40,950",700,+1.74%,"5,000","15,872","38,760",31.63,"168,898",2.68,22.49,
166,롯데정밀화학,"61,400",100,-0.16%,"5,000","15,841","25,800",19.73,"14,608",5.16,30.43,
167,삼천리,"389,500","26,500",+7.30%,"5,000","15,794","4,055",14.08,"26,346",19.87,4.52,
168,SK케미칼,"91,300",700,-0.76%,"5,000","15,753","17,254",17.46,"60,300",8.57,11.19,
169,DL이앤씨,"40,700",0,0.00%,"5,000","15,748","38,694",22.95,"127,517",3.62,N/A,
170,효성,"74,400",100,+0.13%,"5,000","15,677","21,071",5.17,"25,529",13.48,18.04,
171,녹십자,"134,000","1,000",+0.75%,"5,000","15,660","11,687",22.99,"23,630",14.43,10.30,
172,한전KPS,"34,750",150,-0.43%,200,"15,638","45,000",5.76,"60,051",23.06,9.12,
173,효성티앤씨,"359,500","3,500",+0.98%,"5,000","15,558","4,328",9.26,"36,018",10.22,76.22,
174,현대일렉트릭,"43,100",350,-0.81%,"5,000","15,536","36,047",14.24,"137,746",31.64,-5.08,
175,TIGER TOP10,"10,180",60,-0.59%,0,"15,295","150,250",9.39,"140,599",N/A,N/A,
176,TIGER 미국필라델피아반도체나스닥,"9,940",10,-0.10%,0,"15,173","152,650",0.69,"392,607",N/A,N/A,
177,DL,"70,100",700,-0.99%,"5,000","14,690","20,956",10.80,"37,210",39.58,26.52,
178,LX세미콘,"89,900",600,-0.66%,500,"14,622","16,264",30.25,"60,153",5.05,44.49,
179,쌍용차,"8,760",0,0.00%,"5,000","14,578","166,414",26.89,0,-2.49,305.77,
180,영풍,"771,000","7,000",+0.92%,"5,000","14,202","1,842",4.21,"7,309",6.33,3.66,
181,롯데칠성,"151,000","6,000",+4.14%,500,"14,011","9,279",14.61,"84,069",12.74,9.96,
182,현대백화점,"59,700",0,0.00%,"5,000","13,971","23,402",24.17,"61,012",6.65,4.36,
183,동원시스템즈,"47,850","1,050",+2.24%,"5,000","13,872","28,991",13.28,"13,703",29.65,6.95,
184,TIGER 단기통안채,"101,745",15,+0.01%,0,"13,864","13,626",5.70,"232,278",N/A,N/A,
185,TIGER 미국테크TOP10 INDXX,"9,510",20,-0.21%,0,"13,447","141,400",0.23,"441,007",N/A,N/A,
186,솔루스첨단소재,"37,800",500,+1.34%,100,"13,272","35,111",4.89,"91,728",-859.09,4.00,
187,에스엘,"28,350",100,-0.35%,500,"13,168","46,449",14.83,"153,836",10.66,6.63,
188,동국제강,"13,700",250,+1.86%,"5,000","13,074","95,433",24.47,"312,212",1.79,23.41,
189,TIGER 2차전지테마,"20,575",310,+1.53%,0,"12,942","62,900",0.08,"811,167",N/A,N/A,
190,한국앤컴퍼니,"13,550",200,+1.50%,500,"12,864","94,935",9.17,"71,124",5.37,5.53,
191,한미반도체,"13,000",150,-1.14%,100,"12,860","98,920",4.97,"188,506",10.30,34.59,
192,DGB금융지주,"7,590",50,+0.66%,"5,000","12,838","169,146",44.26,"368,606",2.68,9.63,
193,후성,"13,850",250,+1.84%,500,"12,826","92,607",6.26,"731,683",18.01,9.61,
194,코오롱인더,"46,300",200,-0.43%,"5,000","12,741","27,519",17.73,"40,264",8.47,8.20,
195,KODEX 2차전지산업,"22,220",330,+1.51%,0,"12,599","56,700",0.28,"1,484,955",N/A,N/A,
196,KODEX 단기채권PLUS,"104,430",35,+0.03%,0,"12,467","11,938",0.02,"71,244",N/A,N/A,
197,일진하이솔루스,"34,000",300,-0.87%,500,"12,346","36,313",1.56,"33,110",136.00,4.97,
198,롯데제과,"130,000","1,000",+0.78%,500,"12,265","9,435",14.54,"3,317",23.77,2.88,
199,신풍제약,"23,000",500,-2.13%,500,"12,187","52,985",5.41,"290,919",-42.51,-3.19,
200,현대엘리베이,"29,550",300,+1.03%,"5,000","12,061","40,815",29.60,"171,490",8.42,10.62,
